timestamp,power_usage_mW
1724572295674,46485
1724572326961,158249
1724572357582,202730
1724572388701,209433
1724572419825,177971
1724572450942,178221
1724572482061,223123
1724572513180,158735
1724572544297,209924
1724572575421,182670
1724572606555,178707
1724572637674,220519
1724572668790,178709
1724572699909,201735
1724572731032,178162
1724572762149,212081
1724572793270,150320
1724572824401,181120
1724572855540,179219
1724572886660,158078
1724572917780,228997
1724572948901,218363
1724572980026,171061
1724573011185,177013
1724573042301,160291
1724573073422,158414
1724573104541,166805
1724573135745,183013
1724573166861,222803
1724573197977,184186
1724573229094,193724
1724573260210,179027
1724573291337,178993
1724573322454,179586
1724573353575,234844
1724573384691,178693
1724573415809,186662
1724573446927,178140
1724573478050,179301
1724573509169,212796
1724573540285,205711
1724573571402,207845
1724573602520,219896
1724573633639,187281
1724573664764,188085
1724573695885,182794
1724573727008,149164
1724573758131,169464
1724573789248,171370
1724573820368,149524
1724573850389,178773
1724573881504,212509
1724573912618,212851
1724573943735,207819
1724573974852,171774
1724574005977,203856
1724574037092,216517
1724574068209,184755
1724574099324,184227
1724574130441,220539
1724574161566,186461
1724574192684,177162
1724574223800,191733
1724574254926,202609
1724574286041,213935
1724574317160,207093
1724574348274,143905
1724574379392,208777
1724574410507,178256
1724574441627,179827
1724574472745,172709
1724574503865,158474
1724574534996,148198
1724574566366,226423
1724574597483,182091
1724574628604,182241
1724574659725,178501
1724574690842,222768
1724574721966,185275
1724574753087,200884
1724574784204,158778
1724574815324,199075
1724574846440,155745
1724574877556,185250
1724574908685,186745
1724574939801,185775
1724574970921,189170
1724575002040,173914
1724575033159,177939
1724575064284,149818
1724575095401,183241
1724575126527,152732
1724575157644,159872
1724575188761,159821
1724575219882,179715
1724575251017,177807
1724575282373,186296
1724575313489,205237
1724575344608,208106
1724575375726,207631
1724575406842,184591
1724575437956,203073
1724575469072,184522
1724575500187,182413
1724575531301,178661
1724575562417,209521
1724575593534,179576
1724575624656,222224
1724575655773,189289
1724575686892,227221
1724575718011,182307
1724575749128,187017
1724575780249,233621
1724575811369,178863
1724575842503,152058
1724575873634,163595
1724575904759,135225
1724575935880,183244
1724575967212,177338
1724575998342,209046
1724576029462,205805
1724576060586,199145
1724576091716,216891
1724576122844,194848
1724576153961,175891
1724576185075,176232
1724576216204,225787
1724576247322,149822
1724576278438,178486
1724576309558,180417
1724576340683,205183
1724576371799,219794
1724576402926,207097
1724576434045,210742
1724576465162,219627
1724576496275,178073
1724576527392,174522
1724576558513,140633
1724576589682,175634
1724576620802,159456
1724576651939,166928
1724576683056,220507
1724576714177,178665
1724576745296,213001
1724576776417,233228
1724576807532,196378
1724576838648,181768
1724576869762,190657
1724576900878,185222
1724576931994,229470
1724576963111,210903
1724576994226,211602
1724577025350,180634
1724577056467,211286
1724577087588,182437
1724577118712,221489
1724577149828,206780
1724577180943,212885
1724577212058,166421
1724577243178,169188
1724577274299,159887
1724577305417,147166
1724577336693,206523
1724577367814,181121
1724577398935,176928
1724577430052,235152
1724577461169,191618
1724577492284,190542
1724577523403,209520
1724577554520,199257
1724577585635,188725
1724577616752,221820
1724577647867,170286
1724577678987,215455
1724577710105,187980
1724577741225,206696
1724577772345,202467
1724577803474,210303
1724577834593,210461
1724577865717,160423
1724577896836,157933
1724577927960,170263
1724577959084,167865
1724577990294,204081
1724578021416,231472
1724578052536,177730
1724578083658,181410
1724578114783,217685
1724578145901,199640
1724578177021,210422
1724578208140,182461
1724578239254,221649
1724578270372,188113
1724578301491,149677
1724578332608,179805
1724578363724,149310
1724578394844,174893
1724578425960,210236
1724578457077,206121
1724578488195,226677
1724578519325,170462
1724578550451,162176
1724578581572,171001
1724578612875,206595
1724578643994,214100
1724578675112,216023
1724578706227,216119
1724578737350,206171
1724578768470,235406
1724578799586,192930
1724578830703,213195
1724578861832,219393
1724578892949,203391
1724578924067,211453
1724578955183,216006
1724578986302,199524
1724579017421,229914
1724579048536,203015
1724579079658,209507
1724579110779,191536
1724579141896,180340
1724579173014,148613
1724579204135,176947
1724579235252,155813
1724579266389,180928
1724579297504,201863
1724579328623,221877
1724579359743,205602
1724579390859,182696
1724579421977,184795
1724579453101,209136
1724579484218,191064
1724579515336,219587
1724579546450,187765
1724579577569,239351
1724579608683,209354
1724579639802,231456
1724579670928,215355
1724579702043,207686
1724579733159,224283
1724579764281,155300
1724579795406,167214
1724579826555,156918
1724579857990,192056
1724579889111,204461
1724579920227,190071
1724579951346,202190
1724579982463,178328
1724580013580,217875
1724580044698,201476
1724580075817,214384
1724580106937,181223
1724580138055,204870
1724580169172,194358
1724580200307,182262
1724580231427,206981
1724580262549,181008
1724580293668,210848
1724580324787,206318
1724580355906,184891
1724580387035,179847
1724580418160,178073
1724580449287,167204
1724580480408,212590
1724580511533,208823
1724580542655,207579
1724580573779,211097
1724580604901,217758
1724580636018,183703
1724580667136,207861
1724580698252,206538
1724580729372,172399
1724580760494,209930
1724580791611,177149
1724580822727,149243
1724580853841,221743
1724580884961,207528
1724580916076,238886
1724580947191,206913
